timestamp,faq_count,threshold,total_questions,correct_answers,accuracy,keyword_coverage,mrr,avg_response_ms,description
2025-10-26T18:50:38.117542400,316,0.6,20,18,0.9,0.5185,N/A,6754.05,Initial 20-question baseline (pre-cache)
2025-10-26T19:09:39.992485500,41,0.6,20,18,0.9,0.8148,N/A,9923.35,After cache bug fix - 20 questions
2025-10-26T19:39:00.916493800,41,0.6,100,87,0.87,0.8915,N/A,8874.7,Full 100-question evaluation
2025-10-26T20:30:06.743155,41,0.65,100,92,0.92,0.8605,N/A,7749.87,threshold 0.6??.65 (False Positive 감소 ?�스??
2025-10-26T20:43:10.327746100,41,0.7,100,83,0.83,0.814,N/A,6210.76,threshold 0.65??.70 (False Positive ?�전 ?�거 ?�도)
2025-10-26T21:52:52.103613800,41,0.63,100,92,0.92,0.8992,N/A,7992.32,threshold 0.625 (0.60�?0.65 ?�이 최적�??�색)
2025-10-26T22:24:00.862928500,41,0.63,100,92,0.92,0.8915,0.6314,9640.46,MRR
2025-10-26T23:04:59.929118500,41,0.63,100,91,0.91,0.8915,0.6451,9757.98,RAG Seed Reinforcement (5 Questions)
2025-10-26T23:40:34.276446400,41,0.63,100,89,0.89,0.8837,0.6765,9719.71,RAG Seed Reinforcement (All)
2025-10-27T00:09:23.443609200,41,0.6,100,87,0.87,0.8837,0.6882,9715.58,threshold=0.6
2025-10-27T01:24:26.177151600,41,0.63,100,89,0.89,0.8837,0.6765,10219.3,threshold=0.63
2025-10-27T01:50:11.550997,41,0.63,100,93,0.93,0.8605,0.6588,9199.24,gpt reject detection
2025-10-27T02:58:01.376435500,41,0.6,100,90,0.9,0.876,0.6765,9176.28,threshold=0.6
2025-10-27T03:35:48.787583100,44,0.63,100,92,0.92,0.876,0.6608,8378.46,FAQ edit
2025-10-28T01:26:39.977002,44,0.63,100,91,0.91,0.8473,0.6686,9102.19,FAQ edit
2025-10-28T01:59:13.410239900,45,0.63,100,95,0.95,0.8571,0.6531,8812.3,FAQ Addition
