school_name,department_name
ICT폴리텍대학,AI소프트웨어학과
ICT폴리텍대학,IT융합학과
ICT폴리텍대학,기타(소속학과없음)
ICT폴리텍대학,정보보안학과
ICT폴리텍대학,정보통신학과
ICT폴리텍대학,클라우드인터넷학과
가천대학교,AI소프트웨어학부(소프트웨어전공)
가천대학교,AI소프트웨어학부(인공지능전공)
가천대학교,간호학과
가천대학교,건축공학전공
가천대학교,건축학부
가천대학교,건축학전공
가천대학교,게임영상학과
가천대학교,경영학부
가천대학교,경영학전공
가천대학교,경제학과
가천대학교,경찰행정학과
가천대학교,관광경영학과
가천대학교,국제자유전공
가천대학교,국제학부
가천대학교,글로벌경영학전공
가천대학교,금융빅데이터학부
가천대학교,금융빅데이터학부(금융수학전공)
가천대학교,금융빅데이터학부(빅데이터경영전공)
가천대학교,기계스마트산업공학부(기계공학전공)
가천대학교,기계스마트산업공학부(산업공학전공)
가천대학교,기계스마트산업공학부(스마트팩토리전공)
가천대학교,기타(소속학과없음)
가천대학교,기타모집단위
가천대학교,도시계획조경학부
가천대학교,도시계획학전공
가천대학교,동양어문학과
가천대학교,물리치료학과
가천대학교,물리학과
가천대학교,미디어커뮤니케이션학과
가천대학교,미래자동차학과
가천대학교,미술·디자인학부(디자인)
가천대학교,미술·디자인학부(회화·조소)
가천대학교,바이오나노학과
가천대학교,바이오로직스학과
가천대학교,바이오의료기기학과
가천대학교,반도체디스플레이학과
가천대학교,반도체설계학과
가천대학교,반도체전자공학부
가천대학교,반도체전자공학부(반도체공학전공)
가천대학교,반도체전자공학부(전자공학전공)
가천대학교,반도체전자공학부(차세대반도체설계전공)
가천대학교,방사선학과
가천대학교,법학과
가천대학교,사회복지학과
가천대학교,생명과학과
가천대학교,설비·소방공학과
가천대학교,스마트시티학과
가천대학교,식품생명공학과
가천대학교,식품영양학과
가천대학교,신소재공학과
가천대학교,실내건축학전공
가천대학교,심리학과
가천대학교,약학과
가천대학교,연기예술학과
가천대학교,영미어문학과
가천대학교,외국어계열
가천대학교,운동재활학과
가천대학교,유럽어문학과
가톨릭관동대학교,건축학전공
가톨릭관동대학교,경찰행정학전공
가톨릭관동대학교,바이오메디컬전공
가톨릭관동대학교,스마트통합치유학과
가톨릭관동대학교,스마트항만공학전공
가톨릭관동대학교,스포츠건강관리학전공
가톨릭관동대학교,실용음악전공
가톨릭관동대학교,언어재활학과
가톨릭관동대학교,의료경영학전공
가톨릭관동대학교,임상병리학과
