email_domain,school_name
ict.ac.kr,ICT폴리텍대학
kaya.ac.kr,가야대학교
gachon.ac.kr,가천대학교
cku.ac.kr,가톨릭관동대학교
office.kkot.ac.kr,가톨릭꽃동네대학교
catholic.ac.kr,가톨릭대학교
cuk.ac.kr,가톨릭대학교
stud.csj.ac.kr,가톨릭상지대학교
mtu.ac.kr,감리교신학대학교
mts.ac.kr,감리교신학대학교
kangnam.ac.kr,강남대학교
gangdong.ac.kr,강동대학교
gyc.ac.kr,강릉영동대학교
gangseo.ac.kr,강서대학교
kangwon.ac.kr,강원대학교
gw.ac.kr,강원도립대학교
koje.ac.kr,거제대학교
konkuk.ac.kr,건국대학교
kku.ac.kr,건국대학교
konkuk.ac.kr,건국대학교(글로컬)
kku.ac.kr,건국대학교(글로컬)
konyang.ac.kr,건양대학교
kycu.ac.kr,건양사이버대학교
office.gtec.ac.kr,경기과학기술대학교
kgu.ac.kr,경기대학교
gntech.ac.kr,경남과학기술대학교
kyungnam.ac.kr,경남대학교
edu.gc.ac.kr,경남도립거창대학
namhae.ac.kr,경남도립남해대학
kit.ac.kr,경남정보대학교
kduniv.ac.kr,경동대학교
kyungmin.ac.kr,경민대학교
kbu.ac.kr,경복대학교
kbsc.ac.kr,경북과학대학교
knu.ac.kr,경북대학교
kyungpook.ac.kr,경북대학교
gpc.ac.kr,경북도립대학교
,경북보건대학교
stud.kbc.ac.kr,경북전문대학교
gnu.ac.kr,경상국립대학교
gsnu.ac.kr,경상국립대학교
kyungsung.ac.kr,경성대학교
ikw.ac.kr,경운대학교
ginue.ac.kr,경인교육대학교
kiwu.ac.kr,경인여자대학교
kiu.kr,경일대학교
khu.ac.kr,경희대학교
kyunghee.ac.kr,경희대학교
khcu.ac.kr,경희사이버대학교
keimyung.ac.kr,계명대학교
kmcu.ac.kr,계명문화대학교
kaywon.ac.kr,계원예술대학교
korea.ac.kr,고려대학교
korea.ac.kr,고려대학교(세종)
cuk.edu,고려사이버대학교
kosin.ac.kr,고신대학교
gjue.ac.kr,공주교육대학교
,광신대학교
,광양보건대학교
kw.ac.kr,광운대학교
,광주가톨릭대학교
gist.ac.kr,광주과학기술원
gnue.ac.kr,광주교육대학교
gwangju.ac.kr,광주대학교
kwangju.ac.kr,광주대학교
ghu.ac.kr,광주보건대학교
kwu.ac.kr,광주여자대학교
gumi.ac.kr,구미대학교
,구세군사관학교
gwnu.ac.kr,국립강릉원주대학교
kangnung.ac.kr,국립강릉원주대학교
anu.ac.kr,국립경국대학교
gs.ac.kr,국립경국대학교
smail.kongju.ac.kr,국립공주대학교
kunsan.ac.kr,국립군산대학교
kumoh.ac.kr,국립금오공과대학교
mokpo.ac.kr,국립목포대학교
mmu.ac.kr,국립목포해양대학교
pknu.ac.kr,국립부경대학교
pukyong.ac.kr,국립부경대학교
scnu.ac.kr,국립순천대학교
changwon.ac.kr,국립창원대학교
ut.ac.kr,국립한국교통대학교
kmaritime.ac.kr,국립한국해양대학교
kmou.ac.kr,국립한국해양대학교
edu.hanbat.ac.kr,국립한밭대학교
kookmin.ac.kr,국민대학교
kookje.ac.kr,국제대학교
gjcu.ac.kr,국제사이버대학교
kcn.ac.kr,군산간호대학교
enp.kunjang.ac.kr,군장대학교
kdu.ac.kr,극동대학교
global.ac.kr,글로벌사이버대학교
ggu.ac.kr,금강대학교
,기독간호대학교
gcu.ac.kr,김천대학교
kimpo.ac.kr,김포대학교
office.gimhae.ac.kr,김해대학교
office.kornu.ac.kr,나사렛대학교
,나주대학교
nambu.ac.kr,남부대학교
nsu.ac.kr,남서울대학교
nonghyup.ac.kr,농협대학교
dankook.ac.kr,단국대학교
staff.tk.ac.kr,대경대학교
cataegu.ac.kr,대구가톨릭대학교
cu.ac.kr,대구가톨릭대학교
dgist.ac.kr,대구경북과학기술원
,대구공업대학교
daegu.ac.kr,대구과학대학교
dnue.ac.kr,대구교육대학교
taegu.ac.kr,대구대학교
dhu.ac.kr,대구보건대학교
dcu.ac.kr,대구사이버대학교
dgau.ac.kr,대구예술대학교
dhu.ac.kr,대구한의대학교
stud.ddu.ac.kr,대덕대학교
,대동대학교
daelim.ac.kr,대림대학교
,대신대학교
daewon.ac.kr,대원대학교
,대전가톨릭대학교
i.dst.ac.kr,대전과학기술대학교
dju.ac.kr,대전대학교
s.hit.ac.kr,대전보건대학교
,대전신학대학교
daejin.ac.kr,대진대학교
ds.ac.kr,덕성여자대학교
ducksung.ac.kr,덕성여자대학교
dwu.ac.kr,덕성여자대학교
duksung.ac.kr,덕성여자대학교
,동강대학교
dgu.ac.kr,동국대학교
dgu.ac.kr,동국대학교(WISE)
dongguk.ac.kr,동국대학교
dongguk.ac.kr,동국대학교(WISE)
dongnam.ac.kr,동남보건대학교
dongduk.ac.kr,동덕여자대학교
tu.ac.kr,동명대학교
dongseo.ac.kr,동서대학교
dsuci.ac.kr,동서대학교
du.ac.kr,동서울대학교
dongshinu.ac.kr,동신대학교
donga.ac.kr,동아대학교
st.dima.ac.kr,동아방송예술대학교
duh.ac.kr,동아보건대학교
dongyang.ac.kr,동양대학교
dyu.ac.kr,동양대학교
dmu.ac.kr,동양미래대학교
,동원과학기술대학교
tw.ac.kr,동원대학교
dit.ac.kr,동의과학대학교
deu.ac.kr,동의대학교
dongeui.ac.kr,동의대학교
doowon.ac.kr,두원공과대학교
member.scau.ac.kr,디지털서울문화예술대학교
,루터대학교
,마산대학교
mju.ac.kr,명지대학교
myungji.ac.kr,명지대학교
mjc.ac.kr,명지전문대학
mokwon.ac.kr,목원대학교
mu.ac.kr,목원대학교
mwu.ac.kr,목원대학교
mcu.ac.kr,목포가톨릭대학교
,목포과학대학교
mkc.ac.kr,문경대학교
paichai.ac.kr,배재대학교
pcu.ac.kr,배재대학교
o.baewha.ac.kr,배화여자대학교
bu.ac.kr,백석대학교
bscu.ac.kr,백석문화대학교
bau.ac.kr,백석예술대학교
,백제예술대학교
student.cup.ac.kr,부산가톨릭대학교
bsks.ac.kr,부산경상대학교
o365.bist.ac.kr,부산과학기술대학교
student.bnue.ac.kr,부산교육대학교
pusan.ac.kr,부산대학교
busan.ac.kr,부산대학교
pnu.ac.kr,부산대학교
bnu.ac.kr,부산대학교
bdu.ac.kr,부산디지털대학교
bhu.ac.kr,부산보건대학교
bwc.ac.kr,부산여자대학교
,부산예술대학교
bufs.ac.kr,부산외국어대학교
pufs.ac.kr,부산외국어대학교
bpu.ac.kr,부산장신대학교
bcu.ac.kr,부천대학교
365.ac.kr,부천대학교
cufs.ac.kr,사이버한국외국어대학교
syu.ac.kr,삼육대학교
syuin.ac.kr,삼육대학교
shu.ac.kr,삼육보건대학교
sangmyung.kr,상명대학교
sangji.ac.kr,상지대학교
sogang.ac.kr,서강대학교
skuniv.ac.kr,서경대학교
sou.ac.kr,서영대학교
snut.ac.kr,서울과학기술대학교
stu.ac.kr,서울과학기술대학교
assist.ac.kr,서울과학종합대학원대학교
stud.ac.kr,서울과학종합대학원대학교
snue.ac.kr,서울교육대학교
scui.ac.kr,서울기독대학교
snu.ac.kr,서울대학교
sdu.ac.kr,서울디지털대학교
iscu.ac.kr,서울사이버대학교
uos.ac.kr,서울시립대학교
office.stu.ac.kr,서울신학대학교
